,title,text,url
0,End of the world: Nibiru theories again debunked by NASA scientist - The Washington Post,"[Unfortunately for him, Morrison’s duties also include debunking perennial Internet theories that a fake planet is about to destroy the Earth, which was supposed to happen in 2003, then 2012, then Sept. 23, then October — and now the world is supposed to end again some time Sunday., It’s just far enough out there that no one can prove it exists, of course, but also happens to be on a path that will soon send it careening toward Earth — either to smash into us or get close enough to cause a gravitational doomsday., I assumed that Nibiru was the sort of Internet rumor that would quickly pass,” Morrison wrote in 2008, after his “Ask an Astrobiologist” website had become inundated with predictions that Nibiru was going to cross paths with Earth in 2012.   , She said she and her classmates were scared,” he said in a 2011 video., ”]",https://www.washingtonpost.com/news/speaking-of-science/wp/2017/11/18/please-stop-annoying-this-nasa-scientist-with-your-ridiculous-planet-x-doomsday-theories/?utm_term=.928a73b81e70
1,Hillary Clinton called Donald Trump a sexual assaulter. He responded with mere insults. - The Washington Post,"[Trump is a big believer in asymmetrical retaliation, He has suggested many times that she’s a criminal., In her book about the election, she called him a “creep” who “bragged about sexual assault,” referring to a 2005 hot-mic video in which Trump told another man that he aggressively kissed and groped women without permission., How could you say that about President Trump?, What would you]",https://www.washingtonpost.com/news/post-politics/wp/2017/11/19/hillary-clinton-called-donald-trump-a-sexual-assaulter-he-responded-with-mere-insults/?utm_term=.8c19501ee812
2,Search for missing Argentine submarine is stymied by new challenges - The Washington Post,"[There was a peak of hope when they heard about the signals that then led to increased anxiety Monday morning,” Enrique Stein, a 79-year-old psychiatrist who has been at the base, told the Times., Twenty-foot waves and winds near 50 mph were battering more than a dozen search-and-rescue ships from the United States, Britain, Brazil and Chile traversing the area where the ARA San Juan went missing Wednesday off the coast of Patagonia, according to NPR., “, What we interpret is that there must have been a serious problem with the communications [infrastructure] or with the electrical supply, cables, antennae or other equipment,” navy spokesman Enrique Balbi said, according to the Associated Press., To bolster the ongoing search, the U.S. Navy has put some more advanced resources into the Atlantic Ocean, including two unmanned underwater vehicles that use side-scan sonar to create an image of large areas of the seafloor.]",https://www.washingtonpost.com/news/worldviews/wp/2017/11/20/search-for-a-missing-submarine-is-stymied-by-new-challenges-20-foot-waves-and-50-mph-winds/?utm_term=.a3286e26a3ba
3,Former Oklahoma state senator Ralph Shortey admits to child sex trafficking while in office - The Washington Post,"[Former Oklahoma state Sen. Ralph Shortey has reached a plea deal with federal prosecutors months after investigators uncovered a secret life that they say involved child pornography and a rendezvous with a 17-year-old boy he had met through Craigslist’s personal ads., “, The sex trafficking charge is punishable by at least 10 years in prison., Shortey, a Republican who resigned last spring amid allegations that he had solicited sex from the teen, will plead guilty to a child sex trafficking charge, his attorney, Ed Blau, said. , In Shortey’s case, that would be 8 1/2 years, but a judge will ultimately decide on what his sentence would be.]",https://www.washingtonpost.com/news/post-nation/wp/2017/11/20/former-oklahoma-state-senator-admits-to-child-sex-trafficking-while-in-office/?utm_term=.f36938eed877
4,Why is Meek Mill in prison? - The Washington Post,"[He isn’t eligible for parole for at least two years., For the past week, the 30-year-old rapper’s case has become a rallying cry for criminal justice reform in Philadelphia, where his image is plastered on billboards, newsstands and public buses, and where dozens took to the streets to protest what they see as an unusually harsh punishment and an overreach of judicial power., Jules Epstein, law professor and director of advocacy programs at Temple University, said technical probation violations — which can include testing positive for drugs and staying out after a certain curfew — routinely send people back to jail., On Bended Knee, (Pennsylvania Department of Corrections via AP)  ]",https://www.washingtonpost.com/news/arts-and-entertainment/wp/2017/11/20/how-rapper-meek-mills-actions-in-2007-fueled-racial-politics-in-2017/?utm_term=.71d461534a07
5,Jeffrey Tambor says he can’t see returning to ‘Transparent’ after sexual harassment allegations - The Washington Post,"[I’ve already made clear my deep regret if any action of mine was ever misinterpreted by anyone as being aggressive, but the idea that I would deliberately harass anyone is simply and utterly untrue., An Amazon spokesperson declined to respond to Tambor’s statement about leaving the show., “, Last week, Deadline reported that Soloway and the writers were working on a plan in case Tambor did not return to the series., Lysette, who plays a transgender yoga instructor on the show, said she hoped Amazon would “remove the problem and let the show go on.]",https://www.washingtonpost.com/news/arts-and-entertainment/wp/2017/11/19/jeffrey-tambor-says-hes-leaving-transparent-after-sexual-harassment-allegations/
6,"President Trump calls out Raiders' Marshawn Lynch, who sat for U.S. national anthem but stood for Mexican version - The Washington Post","[”   , After parting ways with San Francisco in March, Kaepernick has yet to be signed, prompting him to file a grievance against team owners for colluding to keep him out of the league., In an early-morning tweet Monday, the president resumed his criticism of the NFL and athletes who have protested social injustice and police brutality by remaining seated for the anthem, writing: “Marshawn Lynch of the NFL’s Oakland Raiders stands for the Mexican Anthem and sits down to boos for our national anthem., The veteran running back, who prefers not to speak to the media, has yet to explain the reason behind his protests, but before a Week 4 game, he wore a shirt with the message, “Everybody vs. Trump., (Jasen Vinlove/USA Today Sports)  It was not lost on President Trump that Oakland Raiders running back Marshawn Lynch chose to continue to sit for the national anthem before the team’s game in Mexico, but stood when the Mexican anthem was played.]",https://www.washingtonpost.com/news/early-lead/wp/2017/11/20/marshawn-lynch-sits-for-u-s-national-anthem-but-stands-for-mexican-version/?utm_term=.c0441736cfc3
7,Google Pixel Buds review - The Washington Post,"[(Hayley Tsukayama/The Washington Post)  Google has set out to make its mark on the headphone world with Pixel Buds — wireless headphones that can control your phone and that claim to translate conversations in real time., They’re an early illustration of what we can expect from Google, which will try to make products that stand out from the pack with unusual artificial intelligence services such as translation., While human translators need not fear that they may be without a job, it could be good for travelers or others who want to have a simple, if somewhat halting, chat in another language., Sound quality is about on par with other Bluetooth headphones I’ve tried, which is to say not mind-blowing but pretty good for listening to music while doing other things., That said, it’s worth realizing that the Pixel Buds are more than just a pair of headphones.]",https://www.washingtonpost.com/news/the-switch/wp/2017/11/15/i-tried-out-googles-translating-headphones-heres-what-i-found/
8,What to know about the FCC’s upcoming plan to undo its net neutrality rules - The Washington Post,"[The legal designation allowed the FCC to more strictly regulate broadband firms than when the companies were known merely as providers of an “information service., Since 2010, the three firms have explored or completed purchases of major media entities, such as NBC Universal, Yahoo and Time Warner, respectively., Jessica Rosenworcel, a Democratic FCC commissioner, said the bot-driven filings were cause for several public hearings on the matter before any net neutrality vote., Pai, a Republican, has argued that the regulations discourage Internet providers from investing in upgrades to their infrastructure and that the rules are an example of government overreach., Net neutrality rules “recognize the importance of maintaining a level playing field for all Internet content — regardless of the creator or owner — to be enjoyed by all users, regardless of their Internet provider,” wrote the mayors of 65 cities in a recent letter to Pai.]",https://www.washingtonpost.com/news/the-switch/wp/2017/11/20/what-to-know-about-the-fccs-upcoming-plan-to-undo-its-net-neutrality-rules/
10,"Hot holiday toys: Oonies, Fingerlings and Legos - The Washington Post","[The set, released Nov. 1, sold out on Amazon.com within 24 hours., Shoppers are projected to spend an average of $967.13 this holiday season, a 3.4 percent increase from last year, with the bulk of that money going toward gifts for family members, according to the National Retail Federation., Kids love big reveals. , They love the surprise., Spending on toys is also on the rise, with roughly 40 percent of adults saying they plan to buy toys this year, up from 29 percent five years ago, according to data from Deloitte.]",https://www.washingtonpost.com/news/business/wp/2017/11/20/hot-holiday-toys-oonies-fingerlings-lego-and-some-surprises/
11,The most cutting-edge gifts for the techie in your life - The Washington Post,"[; extra shells are $9.99 each., Apple’s highest-end smartphone is kitted out with all the bells and whistles at its disposal — especially facial recognition technology that has supplanted the trusty fingerprint reader., You still won't find a headphone jack with the The iPhone X. Apple also ditched the home button in favor of new navigation gestures that may take some time to get used to., If you decide to buy the $99 pen, you'll find that it serves as a suitable note taker and sketching implement — though it’s not as sensitive as, say, the Apple Pen for the iPad., While e-readers may not top your mental list of cutting-edge gadgets, there is enough additional tech in this super-light premium device to warrant it.]",https://www.washingtonpost.com/news/the-switch/wp/2017/11/19/the-most-cutting-edge-gifts-for-the-techie-in-your-life/
